LakeID	row	col	AreaRatio	s3_initi_1
56	244	458	0.102842557	244_458_Canoe_Pond
57	719	361	0.184112756	719_361_Caraway_Lake
57	719	362	0.505283205	719_362_Caraway_Lake
57	719	363	0.053254596	719_363_Caraway_Lake
57	720	361	0.020729828	720_361_Caraway_Lake
57	720	362	0.236618584	720_362_Caraway_Lake
57	720	363	1.02994E-06	720_363_Caraway_Lake
58	419	204	0.155328501	419_204_Cherry_Lake
58	419	205	0.222958599	419_205_Cherry_Lake
58	419	206	0.005833887	419_206_Cherry_Lake
58	420	204	0.226369222	420_204_Cherry_Lake
58	420	205	0.305484604	420_205_Cherry_Lake
58	420	206	0.019153837	420_206_Cherry_Lake
58	421	204	0.023973644	421_204_Cherry_Lake
58	421	205	0.040897706	421_205_Cherry_Lake
59	674	348	0.50219975	674_348_Clear_Lake
59	674	349	0.341177963	674_349_Clear_Lake
59	675	348	0.00547111	675_348_Clear_Lake
59	675	349	0.151151177	675_349_Clear_Lake
61	666	348	0.373837478	666_348_Como_Lake_at_Pomona_Park
61	666	349	0.205834046	666_349_Como_Lake_at_Pomona_Park
61	667	347	0.070492052	667_347_Como_Lake_at_Pomona_Park
61	667	348	0.346125168	667_348_Como_Lake_at_Pomona_Park
61	667	349	0.001217707	667_349_Como_Lake_at_Pomona_Park
61	668	348	0.002493549	668_348_Como_Lake_at_Pomona_Park
62	727	379	0.017210852	727_379_Coon_Pond
62	727	380	0.982789148	727_380_Coon_Pond
63	687	351	0.093533655	687_351_Cow_Pond
63	687	352	0.170772543	687_352_Cow_Pond
63	688	351	0.30245707	688_351_Cow_Pond
63	688	352	0.433236733	688_352_Cow_Pond
64	626	306	0.031294356	626_306_Cowpen_Lake
64	626	307	0.035096767	626_307_Cowpen_Lake
64	627	306	0.041243246	627_306_Cowpen_Lake
64	627	307	0.251443689	627_307_Cowpen_Lake
64	627	308	0.134962956	627_308_Cowpen_Lake
64	627	309	0.004840442	627_309_Cowpen_Lake
64	628	306	0.031708281	628_306_Cowpen_Lake
64	628	307	0.283017062	628_307_Cowpen_Lake
64	628	308	0.081979278	628_308_Cowpen_Lake
64	629	306	0.001877339	629_306_Cowpen_Lake
64	629	307	0.10199679	629_307_Cowpen_Lake
64	629	308	0.000539793	629_308_Cowpen_Lake
65	595	315	0.040889974	595_315_Crystal_Lake
65	595	316	0.106807433	595_316_Crystal_Lake
65	596	314	0.000170303	596_314_Crystal_Lake
65	596	315	0.390104367	596_315_Crystal_Lake
65	596	316	0.343701354	596_316_Crystal_Lake
65	597	315	0.081925246	597_315_Crystal_Lake
65	597	316	0.036401322	597_316_Crystal_Lake
66	662	346	0.531998456	662_346_Crystal_Lake_at_Pomona_Park
66	663	345	0.001240326	663_345_Crystal_Lake_at_Pomona_Park
66	663	346	0.466761218	663_346_Crystal_Lake_at_Pomona_Park
67	619	314	0.239052152	619_314_Cue_Lake
67	619	315	0.276512896	619_315_Cue_Lake
67	620	314	0.215611652	620_314_Cue_Lake
67	620	315	0.2688233	620_315_Cue_Lake
68	714	362	0.12819592	714_362_Dan_George_Lake
68	714	363	0.030303184	714_363_Dan_George_Lake
68	715	362	0.328369599	715_362_Dan_George_Lake
68	715	363	0.513131298	715_363_Dan_George_Lake
69	632	311	1	632_311_Darkwater_Lake
70	684	349	0.026089663	684_349_Davis_Lake_at_Crescent_City
70	684	350	0.076622254	684_350_Davis_Lake_at_Crescent_City
70	685	349	0.114390739	685_349_Davis_Lake_at_Crescent_City
70	685	350	0.738263077	685_350_Davis_Lake_at_Crescent_City
70	686	350	0.044634267	686_350_Davis_Lake_at_Crescent_City
71	677	351	0.001680133	677_351_Dream_Pond_at_Crescent_City
71	677	352	0.973698567	677_352_Dream_Pond_at_Crescent_City
71	677	353	0.003751989	677_353_Dream_Pond_at_Crescent_City
71	678	352	0.020869311	678_352_Dream_Pond_at_Crescent_City
72	706	346	0.494927709	706_346_Drudy_Lake_at_Pierson
72	706	347	0.505072291	706_347_Drudy_Lake_at_Pierson
73	746	301	0.084224928	746_301_East_Crooked_Lake
73	746	302	0.002365859	746_302_East_Crooked_Lake
73	747	301	0.444620421	747_301_East_Crooked_Lake
73	747	302	0.165888406	747_302_East_Crooked_Lake
